World,Character,Build,Vehicle,Family
Portal 2,Chell,2,Laser Deflector,Companion Cube
Portal 2,Chell,2,Turret Striker,Sentry Turret
Portal 2,Chell,3,Flying Turret Carrier,Sentry Turret
Portal 2,Chell,3,Gold Heart Emitter,Companion Cube
Scooby-Doo!,Scooby-Doo,1,Scooby Snack,Scooby Snack
Scooby-Doo!,Scooby-Doo,2,Scooby Fire Snack,Scooby Snack
Scooby-Doo!,Scooby-Doo,3,Scooby Ghost Snack,Scooby Snack
Scooby-Doo!,Shaggy,1,Mystery Machine,Mystery Machine
Scooby-Doo!,Shaggy,2,Mystery Tow & Go,Mystery Machine
Scooby-Doo!,Shaggy,3,Mystery Monster,Mystery Machine
Sonic the Hedgehog,Sonic the Hedgehog,1,Sonic Speedster,Sonic Speedster
Sonic the Hedgehog,Sonic the Hedgehog,1,The Tornado,The Tornado
Sonic the Hedgehog,Sonic the Hedgehog,2,Blue Typhon,Sonic Speedster
Sonic the Hedgehog,Sonic the Hedgehog,2,Crabmeat,The Tornado
Sonic the Hedgehog,Sonic the Hedgehog,3,Egg Catcher,The Tornado
Sonic the Hedgehog,Sonic the Hedgehog,3,Moto Bug,Sonic Speedster
Teen Titans Go!,Beast Boy,1,T-Car,T-Car
Teen Titans Go!,Beast Boy,2,T-Forklift,T-Car
Teen Titans Go!,Beast Boy,3,T-Plane,T-Car
Teen Titans Go!,Raven,1,Spellbook of Azarath,Spellbook of Azarath
Teen Titans Go!,Raven,2,Raven Wings,Spellbook of Azarath
Teen Titans Go!,Raven,3,Giant Hand,Spellbook of Azarath
Teen Titans Go!,Starfire,1,Titan Robot,Titan Robot
Teen Titans Go!,Starfire,2,T-Rocket,Titan Robot
Teen Titans Go!,Starfire,3,Robot Retriever,Titan Robot
The A-Team,B.A. Baracus,1,B. A. 's Van,B. A. 's Van
The A-Team,B.A. Baracus,2,Fool Smasher,B. A. 's Van
The A-Team,B.A. Baracus,3,The Pain Plane,B. A. 's Van
The Goonies,Sloth,1,One Eyed Willy Pirate Ship,One Eyed Willy Pirate Ship
The Goonies,Sloth,1,Skeleton Organ,Skeleton Organ
The Goonies,Sloth,2,Fanged Fortune,One Eyed Willy Pirate Ship
The Goonies,Sloth,2,Skeleton Jukebox,Skeleton Organ
The Goonies,Sloth,3,Skele-Turkey,Skeleton Organ
The Goonies,Sloth,3,The Inferno Cannon,One Eyed Willy Pirate Ship
The LEGO Batman Movie,Batgirl,1,Batwing,Batwing
The LEGO Batman Movie,Batgirl,2,The Black Thunder,Batwing
The LEGO Batman Movie,Batgirl,3,Bat-Tank,Batwing
The LEGO Batman Movie,Excalibur Batman,1,Bionic Steed,Bionic Steed
The LEGO Batman Movie,Excalibur Batman,2,Bat-Raptor,Bionic Steed
The LEGO Batman Movie,Excalibur Batman,3,Ultrabat,Bionic Steed
The LEGO Movie,Bad Cop,1,Police Car,Police Car
The LEGO Movie,Bad Cop,2,Aerial Squad Car,Police Car
The LEGO Movie,Bad Cop,3,Missile Striker,Police Car
The LEGO Movie,Benny,1,Benny Spaceship,Benny Spaceship
The LEGO Movie,Benny,2,Lasercraft,Benny Spaceship
The LEGO Movie,Benny,3,The Annihilator,Benny Spaceship
The LEGO Movie,Emmet,1,Emmet Excavator,Emmet Excavator
The LEGO Movie,Emmet,2,The Destroydozer,Emmet Excavator
The LEGO Movie,Emmet,3,Destruct-O-Mech,Emmet Excavator
The LEGO Movie,Unkitty,1,Cloud Cuckoo Car,Cloud Cuckoo Car
The LEGO Movie,Unkitty,2,X-Stream Soaker,Cloud Cuckoo Car
The LEGO Movie,Unkitty,3,Rainbow Canon,Cloud Cuckoo Car
The Powerpuff Girls,Blossom,1,PPG Smartphone,PPG Smartphone
The Powerpuff Girls,Blossom,2,PPG Hotline,PPG Smartphone
The Powerpuff Girls,Blossom,3,Powerpuff Mag-Net,PPG Smartphone
The Powerpuff Girls,Bubbles,1,Octi,Octi
The Powerpuff Girls,Bubbles,2,Sonic Squid,Octi
The Powerpuff Girls,Bubbles,3,Super Skunk,Octi
The Powerpuff Girls,Buttercup,1,Mega Blast Bot,Mega Blast Bot
The Powerpuff Girls,Buttercup,2,Slammin' Guitar,Mega Blast Bot
The Powerpuff Girls,Buttercup,3,Ka-Pow Cannon,Mega Blast Bot
The Simpsons,Bart Simpson,1,Gravity Sprinter,Gravity Sprinter
The Simpsons,Bart Simpson,2,Street Shredder,Gravity Sprinter
The Simpsons,Bart Simpson,3,Sky Clobberer,Gravity Sprinter
The Simpsons,Homer Simpson,1,Homer's Car,Homer's Car
The Simpsons,Homer Simpson,1,Taunt-O-Vision,Taunt-O-Vision
The Simpsons,Homer Simpson,2,Blast Cam,Taunt-O-Vision
The Simpsons,Homer Simpson,2,The Homercraft,Homer's Car
The Simpsons,Homer Simpson,3,The MechaHomer,Taunt-O-Vision
The Simpsons,Homer Simpson,3,The SubmaHomer,Homer's Car
The Simpsons,Krusty the Clown,1,Clown Bike,Clown Bike
The Simpsons,Krusty the Clown,2,Canon Bike,Clown Bike
The Simpsons,Krusty the Clown,3,Anti-Gravity Rocket Bike,Clown Bike
The Wizard of Oz,Wicked Witch of the West,1,Winged Monkey,Winged Monkey
The Wizard of Oz,Wicked Witch of the West,2,Battle Monkey,Winged Monkey
The Wizard of Oz,Wicked Witch of the West,3,Commander Monkey,Winged Monkey
